id,argument1,argument2,topic,score
2550,"A September 2004 study by Dr. Ed Lyman of the Union of Concerned Scientists , using the NRC ’s own analysis method , found that a worst-case accident or attack at the Indian Point nuclear plant 35 miles north of New York City could cause up to 43,700 immediate fatalities and up to 518,000 long-term cancer deaths .",Energy demands are increasing exponentially and nuclear power is the only renewable source capable of matching it,Nuclear energy,0.4107142857
2551,"In addition , the same know-how used to design nuclear power plants can to a certain extent be used to build nuclear weapons ( nuclear proliferation ) .",Energy demands are increasing exponentially and nuclear power is the only renewable source capable of matching it,Nuclear energy,0.4107142857
2552,"And even if the US builds 1/4 of the renewables needed to achieve his dream , the rebates , taxes your local taxes , the cost of electricity is going to bankrupt the USA .",Energy demands are increasing exponentially and nuclear power is the only renewable source capable of matching it,Nuclear energy,0.5357142857
2553,Many energy companies have created special nature parks or wildlife sanctuaries on plant sites .,Promoting continued nuclear research is against our security interests,Nuclear energy,0.2678571429
2554,The “ chain reaction ” that is necessary to get the fission process going has to be relentlessly monitored to keep it within tolerable limits .,Promoting continued nuclear research is against our security interests,Nuclear energy,0.4464285714
2555,Otherwise is hard to beat .,Alternative renewables are inefficient for the cost,Nuclear energy,0.3392857143
2556,Target for terrorism ( as are all centralized power generation sources ) .,Nuclear power is potentially extremely unsafe,Nuclear energy,0.4285714286
2557,"If building new plants is as dangerous as critiques claim , would n't these existing plants be shut down ?",Nuclear power is very expensive,Nuclear energy,0.3035714286
2558,"Organizations like the Sierra Club forcefully argue against the "" numerous issues "" that dog nuclear energy — despite the fact that , as backers point out , there has n't been an accident on U.S. soil since Three Mile Island 's meltdown in 1979 .",Nuclear power is potentially extremely unsafe,Nuclear energy,0.4642857143
2559,Risk is a pervasive element of modern life ; to say more would belabor the obvious .,"The supply of uranium needed for nuclear power is not actually unlimited, renewable or sustainable",Nuclear energy,0.3928571429
2560,"People dont know that radioactive tailings are produced in the production process of neodynium for windmills , and that neodynium is therefore no longer produced in the USA .","The supply of uranium needed for nuclear power is not actually unlimited, renewable or sustainable",Nuclear energy,0.4285714286
2561,"Uranium is expected to last for centuries before it is exhausted , and if we still do n’t have commercialized fusion plants by the year 2300 , then humanity might as well self-destruct .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.5
2562,"Factoring in the entire dose of natural background radiation accumulated over a lifetime , the risk of developing cancer as a result of this exposure is estimated to be roughly 1 in 100 .",Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.3571428571
2563,There is however no radioactive spent fuel that needs to be stored or reprocessed with conventional renewable energy sources .,Promoting continued nuclear research is against our security interests,Nuclear energy,0.4464285714
2564,It flagrantly contradicts with the thoughts of sustainability if future generations have to deal with dangerous waste generated from preceding generations .,Nuclear power is potentially extremely unsafe,Nuclear energy,0.6964285714
2565,Rickover ’s and France ’s experience with sodium cooled reactors has shown that the violent water / sodium chemical reaction makes this design unreliable .,Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.3928571429
2566,"Because the existing plants will be amortised at the end of their originally planned life time , huge financial profits can be realised for any day longer which these plants can be kept in operation .",Alternative renewables are inefficient for the cost,Nuclear energy,0.4642857143
2567,"When the utilities default on these loans , taxpayers will foot the bill .",Promoting continued nuclear research is against our security interests,Nuclear energy,0.4285714286
2568,"On the other hand , by using breeder and fusion reactors , we can produce other fissionable element .",Nuclear power is very expensive,Nuclear energy,0.3214285714
2569,"Today , the dangerous weapons programs in both Iran and North Korea are linked to their civilian reactor programs .",Nuclear power is potentially extremely unsafe,Nuclear energy,0.3928571429
2570,"Nuclear proponents also argue that nuclear energy production is constant , unlike fickle winds and sunshine .",Nuclear power is very expensive,Nuclear energy,0.3035714286
2571,Nuclear power plants create a lot of low-level radioactive waste as transmitted parts and supplies .,Nuclear power is potentially extremely unsafe,Nuclear energy,0.6607142857
2572,Keep in mind : the U-233 is about as nasty stuff as plutonium is .,Nuclear power is very expensive,Nuclear energy,0.2321428571
2573,"Nuclear plants only produce electricity and ca n't replace oil and gas "" The case against nuclear power "" .",Energy demands are increasing exponentially and nuclear power is the only renewable source capable of matching it,Nuclear energy,0.4821428571
2574,"Hidehiko Nishiyama , deputy director general of the Nuclear and Industrial Safety Agency , Japan ’s nuclear regulator , admitted on March 29 that , “ We will have to continue cooling for quite a long period .",Nuclear power is potentially extremely unsafe,Nuclear energy,0.4821428571
2575,"In contrast , measures such as bicycle transport , passive solar design , solar heating , wind power or biogas production lend themselves to local community control .",Alternative renewables are inefficient for the cost,Nuclear energy,0.4464285714
2576,The alternatives to nuclear are coal and natural gas – including unconventional gas resources – and these would be ( over the long-run ) much more polluting and damaging than nuclear .,Nuclear power is very expensive,Nuclear energy,0.1785714286
2577,"A serious reactor accident could cost as much as $ 600 billion , the balance of which would likely be paid by taxpayers .","The supply of uranium needed for nuclear power is not actually unlimited, renewable or sustainable",Nuclear energy,0.5178571429
2578,And a 10 billion dollar per plant construction boondoggle was great while it lasted — - .,Alternative renewables are inefficient for the cost,Nuclear energy,0.4464285714
2579,It estimated an average of 1.8 million lives saved worldwide by the use of nuclear power instead of fossil fuels between 1971 and 2009 .,Energy demands are increasing exponentially and nuclear power is the only renewable source capable of matching it,Nuclear energy,0.4464285714
2580,"Even there , though , nuclear is fading as an energy option .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.3571428571
2581,[ T ] he nuclear industry and those that purport to regulate it have down played the potential of such an accident .,Promoting continued nuclear research is against our security interests,Nuclear energy,0.6071428571
2582,The one issue that surprises most people is that nuclear power is not renewable .,Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.5357142857
2583,This results in fewer brownouts or other power interruptions .,Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.4642857143
2584,Nuclear power plants increase the risk of cancer : Every nuclear reactor churns massive amounts of radioactive waste .,Energy demands are increasing exponentially and nuclear power is the only renewable source capable of matching it,Nuclear energy,0.5357142857
2585,"According to a Stanford study , fast breeder reactors ( that convert Uranium into other nuclear fuels while generating energy ) have the potential to generate energy for billions of years , thus they make nuclear energy sustainable while lowering our dependency on oil , thus increasing our energy security .",Nuclear power is very expensive,Nuclear energy,0.4464285714
2586,"They really are very safe , but the public opinion in countries currently not using nuclear power is predominantly against nuclear energy .",Nuclear power is potentially extremely unsafe,Nuclear energy,0.4464285714
2587,""" It 's not that we 're anti-nuclear , but that nuclear is not the best way to advance carbon control given its economic situation , "" Thomas Cochran , former director of the Natural Resources Defense Council 's nuclear program , said in an interview .",Promoting continued nuclear research is against our security interests,Nuclear energy,0.3571428571
2588,"Despite what the nuclear industry tells us , building enough nuclear power stations to make a meaningful reduction in greenhouse gas emissions would cost trillions of dollars , create tens of thousands of tons of lethal high-level radioactive waste , contribute to further proliferation of nuclear weapons materials , and result in a Chernobyl-scale accident once every decade .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.375
2589,"The ongoing and deepening nuclear calamity in Fukushima and Japan ’s abiding commitment to nuclear power , including the ability to reprocess spent nuclear fuel and generate plutonium , is therefore an outgrowth of imperial power plays at the end of the Second World War .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.4642857143
2590,Nuclear power is one component of this system .,Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.4642857143
2591,"In addition , nuclear power takes up much less real estate to generate the same amount of power that wind or solar would .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.5357142857
2592,"They really are very safe , but the public opinion in countries currently not using nuclear power is predominantly against nuclear energy .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.5357142857
2593,"The long lead times for construction that invalidate nuclear power as a way of mitigating climate change was a point recognized in 2009 by the body whose mission is to promote the use of nuclear power , the International Atomic Energy Agency ( IAEA ) .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.3392857143
2594,"In a published rebuttal to Hansen 's analyses , eight energy and climate scholars say that "" nuclear power reactors are less effective at displacing greenhouse gas emissions than energy efficiency initiatives and renewable energy technologies "" .",Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.5535714286
2595,"1 million Europeans against nuclear power : "" Although nuclear power is a hazardous business , the nuclear industry hardly has any financial liability .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.4464285714
2596,"It was the most significant accident in the history of the USA commercial nuclear power generating industry , resulting in the release of approximately 2.5 million curies of radioactive noble gases , and approximately 15 curies of iodine-131 .",Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.3928571429
2597,"The long lead times for construction that invalidate nuclear power as a way of mitigating climate change was a point recognized in 2009 by the body whose mission is to promote the use of nuclear power , the International Atomic Energy Agency ( IAEA ) .","The supply of uranium needed for nuclear power is not actually unlimited, renewable or sustainable",Nuclear energy,0.5178571429
2598,"They have to varying degrees either changed their public stance , or conceded that since nuclear power is virtually emission-free regarding CO2 , it merits at least grudging support as part of the response to increasing atmospheric CO2 levels and depletion of fossil fuels .",Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.6607142857
2599,"According to a Stanford study , fast breeder reactors ( that convert Uranium into other nuclear fuels while generating energy ) have the potential to generate energy for billions of years , thus they make nuclear energy sustainable while lowering our dependency on oil , thus increasing our energy security .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.6964285714
2600,"Economic • Net external Costs are much cheaper then other forms of production • As of 2005 Nuclear power was : – 3/4 the cost of coal – 1/5 the cost of gas • Nuclear energy is , in many places , competitive with fossil fuels for electricity generation , despite relatively high capital costs and the need to internalize all waste disposal and decommissioning costs .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.6785714286
2601,"Rather than refute here Hunziker ’s reproduced claims about Fukushima and Chernobyl one-by-one , or his claims about nuclear energy and radiation in general , we recommend starting with a piece that the two of us wrote in 2012 on nuclear energy and radiation science , placing nuclear in the context of the other leading sources of energy .",Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.6071428571
2602,"Since most forms of renewable energy do n’t fill the bill , “ nuclear fission today represents the only present-day zero-carbon technology with the demonstrated ability to meet most , if not all , of the energy demands of a modern economy . ”",Energy demands are increasing exponentially and nuclear power is the only renewable source capable of matching it,Nuclear energy,0.6785714286
2603,Nuclear power is one component of this system .,Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.3928571429
2604,"Nuclear power is a very useful source of energy , plus we have a third of the worlds uranium .",Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.5535714286
2605,Small modular reactor ( SMR ) that have about a third of the output of typical nuclear reactors could be the key to making nuclear power the energy source of the future .,Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.5178571429
2606,But increasing reliance on nuclear power is one of the costliest ways to achieve that goal .,Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.5178571429
2607,Nuclear power requires a very small area .,Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.5178571429
2608,"Hence , without a nuclear power program , justified as the peaceful use of unlimited , cheap , and safe energy , it is not possible to realistically generate the required amount of plutonium for nuclear weapons .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.5714285714
2609,Energy conservation is seven times more cost-effective than nuclear power .,Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.6071428571
2610,""" The only legitimate concern that nuclear retirements are premature is that electricity markets do not fully account for the external ' social cost ' of pollution , "" wrote Devin Hartman , a senior fellow at the institute .",Promoting continued nuclear research is against our security interests,Nuclear energy,0.3571428571
2611,"Every dollar spent on nuclear is one less dollar spent on clean renewable energy and one more dollar spent on making the world a comparatively dirtier and a more dangerous place , because nuclear power and nuclear weapons go hand in hand .",Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.5714285714
2612,"Without batteries to store renewable energy over a span of months and not just days , the United States is not likely to achieve 100 percent renewable power in this century and will have to rely on either fossil fuels with carbon capture or nuclear power , Chu said , concluding that "" although nuclear power has a lot of bad things , it is carbon-free . """,Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.6071428571
2613,Currently nuclear energy saves the emission of 2.5 billion tonnes of CO2 relative to coal .,Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.8392857143
2614,To maintain the current proportional contribution of nuclear power would require building eighty new nuclear plants in the next 10 years — commissioning one every 6 weeks !,Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.5
2615,"Nuclear energy is one of the most viable alternatives to oil , particularly because it is capable of supplying such massive amounts of energy .",Energy demands are increasing exponentially and nuclear power is the only renewable source capable of matching it,Nuclear energy,0.75
2616,"Furthermore , it is feasible to get private insurance for renewables , whereas the private sector is unwilling to underwrite nuclear facilities , whether LFTR or otherwise .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.4821428571
2617,"Nuclear power already delivers less energy globally than renewable energy , and the share will continue to decrease in the coming years .",Energy demands are increasing exponentially and nuclear power is the only renewable source capable of matching it,Nuclear energy,0.4107142857
2618,"January 8 , 2008 : "" Nuclear is not an available power source in the Philippines , and , given the DOE ’s power forecasts , a nuclear plant will be a poor choice to meet power demand because it takes too long to build .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.2678571429
2619,"Finally , and most importantly to the stringent Clean Air Acts and their equivalents in the countries actively looking to reduce pollution and greenhouse gas emissions , nuclear power represents the power source with the lowest pollution levels .",Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.7321428571
2620,"We need a safe , genuinely sustainable , global and green solution to our energy needs , not a dangerous diversion like nuclear power .","The supply of uranium needed for nuclear power is not actually unlimited, renewable or sustainable",Nuclear energy,0.6428571429
2621,"Also , unlike wind and solar power , nuclear power can provide a continuous flow of energy that utilities can depend on any time of day .",Nuclear power gives countries energy security and self-sufficiency,Nuclear energy,0.6607142857
2622,"Nuclear waste disposal is costly Digging massive holes in mountains , transporting nuclear waste to these designated waste areas , and monitoring the waste areas for radiation leakages are all significant costs associated with nuclear energy .",Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.4642857143
2623,"Nuclear power is recognized as the cheapest form of energy production ( 9 ) and the power supplied by them are not subject to fluctuation of a whole range of issues - supply and demand , acquisition , stock trading and political instability in source countries .",Energy demands are increasing exponentially and nuclear power is the only renewable source capable of matching it,Nuclear energy,0.7857142857
2624,Studies have shown that what life-cycle emissions that the plants do give off are on par with renewable energy sources such as wind power .,Nuclear power is clean and emits significantly less CO2 than other renewable energy sources,Nuclear energy,0.7321428571
2625,The wearing of uniforms does not prevent the formation of cliques or gangs .,Students can express their individuality in school uniforms by introducing variations and adding accessories.,School uniforms,0.4464285714
2626,"Well-paid work tends to reject uniformity , and for good reason , the demands of the future include qualities such as assertiveness , creativity , individuality , originality , a spontaneous personality , being a self-starter , taking initiatives , being able to cope with change , etc .",School uniforms prevent the display of gang colors and insignia. ,School uniforms,0.2857142857
2627,"Well-paid work tends to reject uniformity , and for good reason , the demands of the future include qualities such as assertiveness , creativity , individuality , originality , a spontaneous personality , being a self-starter , taking initiatives , being able to cope with change , etc .",Most parents and educators support mandatory school uniforms.,School uniforms,0.2678571429
2628,"In another case , a nine-year-old boy was forced to change out of his shirt into a loaner in a closet .","School uniforms create a level playing field among students, reducing peer pressure and bullying.",School uniforms,0.4285714286
2629,People in charge would not have to worry about checking each and every student of what he or she is wearing and whether it is acceptable at school or not .,Uniforms may have a detrimental effect on students' self-image.,School uniforms,0.5535714286
2630,Students takes less time to get ready in the morning .,School uniforms do not stop bullying and may increase violent attacks.,School uniforms,0.3571428571
2631,We have the right to voice our preferences and beliefs .,School uniforms may delay the transition into adulthood.,School uniforms,0.25
2632,"Some experts believe it is not in the best interest of the child to try to control socialization , which is a part of human nature .",Uniforms may have a detrimental effect on students' self-image.,School uniforms,0.6607142857
2633,Making everyone wear the same school uniform infringes on ( goes against ) our rights and is a misuse of authority .,School uniforms can save parents money.,School uniforms,0.25
2634,There is something comforting about school children and teenagers dressed in pleats and plaid .,"School uniforms create a level playing field among students, reducing peer pressure and bullying.",School uniforms,0.4821428571
2635,So what do uniforms do other than show how much power adminstrators have in our students and what they can and ca n't wear .,Uniforms may have a detrimental effect on students' self-image.,School uniforms,0.5535714286
2636,Uniforms also emphasize racial divisions .,School uniforms do not stop bullying and may increase violent attacks.,School uniforms,0.5357142857
2637,They can be very boring to wear and look at as well .,School uniforms restrict students' freedom of expression.,School uniforms,0.6071428571
